id,att,kog,psi,afe,status
190001,1,1,1,0,1
190002,1,1,1,0,1
190003,1,1,1,1,1
190004,0,1,0,0,0
190005,1,1,0,0,0
190006,1,1,1,0,1
190007,1,1,1,1,1
190008,1,1,1,0,1
190009,1,1,1,1,1
190010,1,1,1,1,1
190011,1,1,1,0,1
190012,1,1,0,0,0
190013,1,1,1,0,1
190014,1,1,0,0,0
190015,1,1,1,1,1
190016,1,1,1,0,1
190017,1,1,1,1,1
190018,1,1,1,0,1
190019,1,1,1,0,1
190020,1,1,1,0,1
190021,1,1,0,0,1
190022,1,1,0,0,1
190023,1,1,1,0,0
190024,0,1,0,0,0
190025,1,1,1,0,1
190026,1,1,1,0,1
190027,1,1,1,0,1
190028,1,1,1,0,1
190029,1,1,0,0,0
190030,1,1,1,0,1
190031,1,1,0,1,1
190032,1,1,1,0,1
190033,1,1,0,0,0
190034,1,1,0,0,0
190035,0,0,0,0,0
190036,1,1,1,0,1
190037,1,1,0,0,0
190038,1,1,1,0,1
190039,1,1,1,0,0
190040,1,1,1,0,1
190041,1,1,1,0,1
190042,1,1,0,0,0
190043,1,1,1,0,1
190044,1,1,1,0,1
190045,1,1,0,0,0
190046,1,1,1,0,1
190047,1,1,1,0,1
190048,1,1,0,0,1
190049,1,1,1,0,1
190050,1,0,0,0,0
190051,0,0,0,0,0
190052,1,1,1,1,1
190053,1,1,1,0,1
190054,1,1,1,0,0
190055,1,1,1,0,1
190056,1,1,1,0,0
190057,1,1,0,0,0
190058,1,0,0,0,0
190059,0,0,0,0,0
190060,1,1,0,0,0
190061,1,1,0,1,1
190062,1,1,1,0,0
190063,1,1,1,0,1
190064,1,1,1,0,1
190065,1,1,1,0,1
190066,1,0,1,0,0
190067,1,1,1,0,1
190068,1,1,0,0,1
190069,1,1,1,1,1
190070,1,0,1,0,0
190071,1,1,0,0,0
190072,1,0,1,0,0
190073,1,0,1,0,1
190074,1,1,0,0,0
190075,1,1,1,0,1
190076,1,0,1,0,0
190077,1,0,0,0,0